wikidata_id,label,deleted,dfk_id,or_id,or_label,dfkv_id,dfkv_label,pb_id,pb_label
wikidata_id,label,deleted,dfk_id,or_id,or_label,dfkv_id,dfkv_label,pb_id,pb_label
,,,DFK0002138909,3553,"Burger, Burger",,,,
,,,DFK0003297174,9326,"Beham, Beham",,,,
,,,DFK0006201741,17252,"Beski, Jerzy",,,,
,,,DFK0008640562,17253,"Boroczak, Jan",,,,
,,,DFK0009901769,17510,"Bererezowski, Ludwik",,,,
,,,DFK0001329136,17517,"Balcerzak, Balcerzak",,,,
,,,DFK0009996034,14841,"Bronowski, Tomasz",,,,
,,,DFK0002487047,17713,"Bojarski, Ryszard",,,,
,,,DFK0002626391,17785,"Bakalarczyk, Zbigniew",,,,
,,,DFK0005003220,17817,"Barcicka, Janina",,,,
,,,DFK0005637311,17820,"Borowski, Winicjusz",,,,
,,,DFK0000341516,17928,"Bodusławski, Tomasz",,,,
,,,DFK0005213413,17847,"Brune, Marie",,,,
,,,DFK0005879941,17856,"Bytomski, Engelbert",,,,
,,,DFK0006356041,19843,"Brewal, Jose",,,,
,,,DFK0008553896,13967,"Boldok, Slawomir",,,,
,,,DFK0009350628,11750,"Berezianski, Andrzej",,,,
,,,DFK0000297796,10713,"Bernard, Claude",,,,
,,,DFK0003442838,10965,"Biasi, Biasi",,,,
,,,DFK0008668512,10909,"Baker, George",,,,
,,,DFK0009084397,10920,"Burggaller, Burggaller",,,,
,,,DFK0005510055,4690,"Baer, Baer",,,,
,,,DFK0009650120,10898,"Bednorz, Bednorz",,,,
,,,DFK0004171544,10903,"Bremer, Rosemarie",,,,
,,,DFK0005505485,8620,"Bertini, Bertini",,,,
,,,DFK0006066988,9513,"Bergmann, Gerhard",,,,
,,,DFK0002756176,11646,"Bennedix, Rolf",,,,
,,,DFK0007656743,11611,"Berggruen, Berggruen",,,,
,,,DFK0009880698,11715,"Bachmann, Eberhard",,,,
,,,DFK0002421023,11776,"Breuste, H. J.",,,,
,,,DFK0001114858,12122,"Baier, Wolfgang",,,,
,,,DFK0005103859,12458,"Briese, Peter",,,,
,,,DFK0003130592,12229,"Burckhardt, Klaus",,,,
,,,DFK0005760357,13017,"Bauer, Lothar",,,,
,,,DFK0009664925,12958,"Buch, Jörgen",,,,
,,,DFK0002154284,12941,"Brix, Karl",,,,
,,,DFK0002075543,13227,"Benoît, Gérard",,,,
,,,DFK0006766227,13881,"Bognar, Arpad",,,,
,,,DFK0000387831,13341,"Becker, Jan",,,,
,,,DFK0003791893,18453,"Beckmann, Kurt",,,,
,,,DFK0004122921,13186,"Batsuch, Lamjaw",,,,
,,,DFK0002366562,13331,"Barylko, Mieczwslaw",,,,
,,,DFK0004740737,11977,"Bohdziewicz, Emilia",,,,
,,,DFK0002852432,13507,"Bernard, Pierre",,,,
,,,DFK0008065687,13511,"Beck, James",,,,
,,,DFK0005913810,13603,"Biereznicki, Kiejstun",,,,
,,,DFK0007871513,13463,"Bochynek, Martin",,,,
