wikidata_id|label|fr_label|hide|deleted|dfk_id|or_id|or_label|dfkv_id|dfkv_label|pb_id|pb_label|fs_id|fs_label|av_id|av_label
|Stocker, Wessel||0||DFK0003962058|21741|Stocker, Wessel||||||||
|Seidel, Horst||0||DFK0008011007|21567|Seidel, Horst||||||||
|Stoschek, Jeannette||0||DFK0001102651|21569|Stoschek, Jeannette||||||||
|Seidl, Rita||0||DFK0000979119|21611|Seidl, Rita||||||||
|Sowiak, Radoslaw||0||DFK0006128160|21619|Sowiak, Radoslaw||||||||
|Skrzyposzek, Chrystian||0||DFK0000606096|21624|Skrzyposzek, Chrystian||||||||
|||0||DFK0001280600|21629|Swidzinski, Jan||||||||
|Schockholz, Caspar||0||DFK0001286041|21497|Schockholz, Caspar||||||||
|Schäfer, Magnus||0||DFK0001545568|21586|Schäfer, Magnus||||||||
|Schrener, Guy||0||DFK0000520622|21346|Schrener, Guy||||||||
|Schulz, Hans-Peter||0||DFK0003215742|21485|Schulz, Hans-Peter||||||||
|Schulz, Gisela||0||DFK0003068093|21486|Schulz, Gisela||||||||
|Schawitz, Nicolas||0||DFK0002775619|21339|Schawitz, Nicolas||||||||
|Sander, Dietulf||0||DFK0000689451|21494|Sander, Dietulf||||||||
|Schwind, Karl||0||DFK0000443570|21498|Schwind, Karl||||||||
|Scarpati, Mario||0||DFK0004844634|21502|Scarpati, Mario||||||||
|Sander, Gunter||0||DFK0000037472|21492|Sander, Gunter||||||||
|Schade, Gregor-Thorsten||0||DFK0001362570|12918|Schade, Gregor-Thorsten||||||||
|Stein, Otto||0||DFK0003258778|21340|Stein, Otto||||||||
|Snopkiewicz, Tomasz||0||DFK0003502076|21349|Snopkiewicz, Tomasz||||||||
|Seufert, Susanne||0||DFK0007662104|21513|Seufert, Susanne||||||||
|Siegenbruck, Wolfgang||0||DFK0002368787|21517|Siegenbruck, Wolfgang||||||||
|Schneider, Piotr||0||DFK0004176348|10238|Schneider, Piotr||||||||
|Sissia, Julie||0||DFK0004410408|21327|Sissia, Julie||||||||
|Singerbecker, Pamuła||0||DFK0003873779|21519|Singerbecker, Pamuła||||||||
|Skorczewski, Krysztof||0||DFK0002615498|17595|Skorczewski, Krysztof||||||||
|Sinatra, Frank||0||DFK0007232748|21905|Sinatra, Frank||||||||
|Schön, Wolf||0||DFK0009936074|20048|Schön, Wolf||||||||
|Starl, Timm||0||DFK0004755666|12109|Starl, Timm||||||||
|Segor, Rolf||0||DFK0007381508|13198|Segor, Rolf||||||||
|Schmidtkott, Annalies||0||DFK0005278045|13364|Schmidtkott, Annalies||||||||
|Saxe, J.I. von [hier: S.]||0|yes|DFK0008030999|657|Saxe, J.I. von [hier: S.]||||||||
|Sommer, Ines||0||DFK0006949915|13258|Sommer, Ines||||||||
|Schulz, Bruno||0||DFK0002842972|13842|Schulz, Bruno||||||||
|Schulze, Bernard||0||DFK0007384382|21798|Schulze, Bernard||||||||
|Sibert, Claude-Hélène||0|yes|DFK0006346334|7984|Sibert, Claude-Hélène||||||||
|Schlutze, Klaus||0||DFK0001499936|14769|Schlutze, Klaus||||||||
|Speck, Rainer||0||DFK0004819070|11571|Speck, Rainer||||||||
